section,item,passed,evidence
training_scripts,complete_script_set,True,actual=36 expected=36
training_scripts,BERT_IT.py:one_seed,True,SEEDS = [13]
training_scripts,BERT_IT.py:twenty_hpo_trials,True,HPO_TRIALS = 20
training_scripts,BERT_IT.py:seeded_tpe,True,optuna.samplers.TPESampler(seed=seed)
training_scripts,BERT_IT.py:exact_hpo_logged,True,"""eval_exact_f1"": metrics[""f1""]"
training_scripts,BERT_IT.py:exact_hpo_returned,True,"return metrics[""f1""]"
training_scripts,BERT_IT.py:validation_eval_mode,True,model.eval()
training_scripts,BERT_IT.py:no_epoch_checkpoints,True,"save_strategy=""no"""
training_scripts,BERT_IT.py:shared_input_builder,True,"return ""\n"".join(parts).strip()"
training_scripts,BERT_IT.py:exact_dedupe_only,True,Normalize exact duplicates only; preserve distinct nested skill labels.
training_scripts,BERT_IT.py:global_one_to_one,True,def maximum_cardinality_pairs(
training_scripts,BERT_IT.py:token_containment,True,def is_contiguous_subseq(
training_scripts,BERT_IT.py:seed_before_initialization,True,calls=3
training_scripts,BERT_IT.py:bert_window,True,MAX_LEN = 512
training_scripts,BERT_IT.py:bert_stride,True,DOC_STRIDE = 128
training_scripts,BERT_IT.py:weighted_loss,True,class WeightedTokenTrainer(Trainer):
training_scripts,BERT_IT.py:weight_formula,True,weights = torch.sqrt(outside_count / counts.float())
training_scripts,BERT_IT.py:weight_cap,True,BIO_CLASS_WEIGHT_MAX = 10.0
training_scripts,BERT_IT.py:outside_weight,True,"weights[LABEL2ID[""O""]] = 1.0"
training_scripts,BERT_IT.py:word_boundary_expansion,True,"expand_span_to_word_boundaries(text, s, e)"
prediction_rules,BERT_IT.py:PREDICTED_SKILL_ALLOWLIST,True,embedded=26 generated=26
prediction_rules,BERT_IT.py:PREDICTED_SKILL_FRAGMENT_BLACKLIST,True,embedded=18 generated=18
prediction_rules,BERT_IT.py:PREDICTED_SKILL_FRAGMENT_PREFIXES,True,embedded=0 generated=0
